Team,Total_Wins,Total_Matches,Win_Percentage,Bat_First_Win,Field_First_Win,Favourable_Venue,Win_Perc2008,Win_Perc2009,Win_Perc2010,Win_Perc2011,Win_Perc2012,Win_Perc2013,Win_Perc2014,Win_Perc2015,Win_Perc2016,Win_Perc2017,Toss_Win,Seaon_Active,MVP,Max_Umpire1,Max_Umpire2,Most_Played
Chennai Super Kings,77,129,59.68992248062015,49,28,"MA Chidambaram Stadium, Chepauk",56.25,57.14,56.25,68.75,55.56,66.67,57.14,58.82,0.0,0.0,51.16,2008 - 2015,SK Raina,Asad Rauf,SJA Taufel,Mumbai Indians
Rising Pune Supergiants,5,14,35.714285714285715,2,3,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.71,0.0,50.0,2017,AB Dinda,HDPK Dharmasena,CK Nandan,Delhi Daredevils
Royal Challengers Bangalore,71,147,48.29931972789115,25,46,M Chinnaswamy Stadium,28.57,56.25,50.0,62.5,53.33,56.25,33.33,57.14,56.25,16.67,45.58,2008 - 2017,CH Gayle,HDPK Dharmasena,C Shamshuddin,Kolkata Knight Riders
Gujarat Lions,13,30,43.333333333333336,2,11,Saurashtra Cricket Association Stadium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.25,28.57,50.0,2016 - 2017,AJ Finch,AK Chaudhary,CK Nandan,Kings XI Punjab
Mumbai Indians,92,154,59.74025974025974,41,51,Wankhede Stadium,50.0,38.46,68.75,62.5,58.82,68.42,58.33,62.5,50.0,70.59,53.9,2008 - 2017,RG Sharma,HDPK Dharmasena,SJA Taufel,Kings XI Punjab
Deccan Chargers,29,75,38.666666666666664,14,15,Barabati Stadium,14.29,56.25,50.0,42.86,26.67,0.0,0.0,0.0,0.0,0.0,57.33,2008 - 2012,AC Gilchrist,S Ravi,SJA Taufel,Chennai Super Kings
Kings XI Punjab,69,147,46.93877551020408,20,49,"Punjab Cricket Association Stadium, Mohali",66.67,50.0,28.57,50.0,50.0,50.0,68.75,21.43,28.57,50.0,45.58,2008 - 2017,SE Marsh,HDPK Dharmasena,C Shamshuddin,Royal Challengers Bangalore
Rajasthan Royals,63,116,54.310344827586206,30,33,Sawai Mansingh Stadium,81.25,46.15,42.86,46.15,43.75,61.11,53.85,53.85,0.0,0.0,52.59,2008 - 2015,AM Rahane,Aleem Dar,SK Tarapore,Mumbai Indians
Delhi Daredevils,61,142,42.95774647887324,27,34,Feroz Shah Kotla,50.0,66.67,50.0,30.77,61.11,18.75,8.33,38.46,50.0,46.15,50.0,2008 - 2017,V Sehwag,BF Bowden,S Ravi,Mumbai Indians
Pune Warriors,12,45,26.666666666666668,9,3,Subrata Roy Sahara Stadium,0.0,0.0,0.0,30.77,25.0,25.0,0.0,0.0,0.0,0.0,44.44,2011 - 2013,SPD Smith,Asad Rauf,SJA Taufel,Chennai Super Kings
Rising Pune Supergiant,10,16,62.5,0,10,Maharashtra Cricket Association Stadium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,37.5,2017,BA Stokes,KN Ananthapadmanabhan,C Shamshuddin,Delhi Daredevils
Sunrisers Hyderabad,40,74,54.054054054054056,15,25,"Rajiv Gandhi International Stadium, Uppal",0.0,0.0,0.0,0.0,0.0,58.82,33.33,50.0,64.71,57.14,45.95,2013 - 2017,DA Warner,AK Chaudhary,NJ Llong,Gujarat Lions
Kochi Tuskers Kerala,6,14,42.857142857142854,0,6,Nehru Stadium,0.0,0.0,0.0,42.86,0.0,0.0,0.0,0.0,0.0,0.0,57.14,2011,BB McCullum,Aleem Dar,RJ Tucker,Chennai Super Kings
Kolkata Knight Riders,77,147,52.38095238095239,34,43,Eden Gardens,46.15,23.08,50.0,53.33,70.59,37.5,73.33,53.85,53.33,56.25,52.38,2008 - 2017,G Gambhir,AK Chaudhary,CK Nandan,Kings XI Punjab
